country_code,rome-1960,tokyo-1964,mexico-city-1968,munich-1972,montreal-1976,moscow-1980,los-angeles-1984,seoul-1988,barcelona-1992,atlanta-1996,sydney-2000,athens-2004,beijing-2008,london-2012,rio-2016,tokyo-2020,paris-2024
AD,0,0,0,0,3,2,2,3,8,8,5,6,5,6,5,2,2
AE,0,0,0,0,0,0,7,12,13,4,4,4,8,26,13,5,10
AF,12,8,5,8,0,11,0,5,0,2,0,5,4,6,6,5,0
AG,0,0,0,0,10,0,14,15,13,13,3,5,5,5,9,6,3
AL,0,0,0,5,0,0,0,0,7,7,4,7,11,12,6,9,5
AM,0,0,0,0,0,0,0,0,0,32,25,18,25,25,33,17,12
AN,5,4,5,2,4,0,8,3,4,6,7,3,3,0,0,0,0
AO,0,0,0,0,0,11,0,24,28,28,30,30,32,34,25,20,21
AR,92,102,89,92,69,0,81,118,84,179,143,152,132,137,213,189,132
AS,0,0,0,0,0,0,0,6,3,7,4,3,4,5,4,6,0
AT,103,56,43,111,60,83,103,73,102,72,92,74,70,70,71,60,69
AU,189,243,128,168,180,120,242,252,279,417,617,470,433,410,421,478,434
AW,0,0,0,0,0,0,0,8,5,3,5,4,2,4,9,3,5
AZ,0,0,0,0,0,0,0,0,0,23,31,36,44,53,56,44,48
BA,0,0,0,0,0,0,0,0,10,9,9,9,5,6,11,7,3
BB,0,0,9,13,11,0,16,17,17,13,18,10,8,6,12,8,2
BD,0,0,0,0,0,0,1,6,6,4,5,4,5,5,7,6,2
BE,101,61,82,88,101,59,63,59,68,61,68,50,94,115,108,121,150
BF,0,0,0,1,0,0,0,6,4,5,4,5,6,5,5,7,5
BG,98,63,112,130,158,271,0,172,138,110,91,95,70,63,51,42,43
BH,0,0,0,0,0,0,10,7,10,5,4,10,14,12,35,32,11
BI,0,0,0,0,0,0,0,0,0,7,6,7,3,6,9,6,3
BJ,0,0,0,3,0,16,3,7,6,5,4,4,5,5,6,7,2
BM,9,4,6,9,16,0,12,12,20,9,6,10,6,8,8,2,5
BN,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,2,0
BO,0,1,4,11,4,0,11,7,13,8,5,7,7,6,12,5,1
BR,71,61,76,81,79,106,147,160,182,221,198,243,268,258,465,302,239
BS,13,11,16,20,11,0,22,16,14,26,25,22,25,24,28,16,11
BT,0,0,0,0,0,0,6,3,6,2,2,2,2,2,2,4,2
BW,0,0,0,0,0,7,7,8,6,7,7,11,11,4,12,13,5
BY,0,0,0,0,0,0,0,0,0,157,139,151,177,165,121,101,0
BZ,0,0,0,0,4,0,11,10,10,5,2,2,4,3,3,3,0
CA,85,115,138,208,385,0,408,328,295,303,294,262,332,277,314,381,298
CD,0,0,5,0,0,0,8,15,17,14,2,4,5,4,4,7,3
CF,0,0,1,0,0,0,3,15,15,5,3,4,3,6,6,2,1
